['HAHA', 'drafted', 'Rueben Randle, NYG', '', '']
['CBK', 'drafted', 'Ryan Fitzpatrick, Buf', '', '']
['CAW', 'drafted', 'Jets D/ST, NYJ', '', '']
['USC', 'drafted', 'Laurent Robinson, Jac', '', '']
['JONK', 'drafted', 'Garrett Hartley, NO', '', '']
['NYC', 'drafted', 'Ryan Williams, Ari', '', '']
['CHIN', 'drafted', 'Mike Tolbert, Car', '', '']
['TEEL', 'drafted', 'Falcons D/ST, Atl', '', '']
['M0M0', 'drafted', 'Heath Miller, Pit', '', '']
['HAHA', 'drafted', 'Mike Williams, TB', '', '']
['CAW', 'drafted', 'Alex Henery, Phi', '', '']
['USC', 'drafted', 'Matt Flynn, Sea', '', '']
['NYC', 'drafted', 'Coby Fleener, Ind', '', '']
['CHIN', 'drafted', 'Robbie Gould, Chi', '', '']
['TEEL', 'drafted', 'Randy Moss, SF', '', '']
['M0M0', 'drafted', 'Matt Cassel, KC', '', '']
['HAHA', 'drafted', 'Dustin Keller, NYJ', '', '']
['CAW', 'drafted', 'Mike Goodson, Oak', '', '']
['USC', 'drafted', 'Kellen Winslow, FA', '', '']
['TEEL', 'drafted', 'Leonard Hankerson, Wsh', '', '']
['HAHA', 'drafted', 'Bills D/ST, Buf', '', '']
['CAW', 'drafted', 'Jonathan Dwyer, Pit', '', '']
['USC', 'drafted', 'Brandon Jacobs, SF', '', '']
['TEEL', 'drafted', 'Matt Bryant, Atl', '', '']
['HAHA', 'drafted', 'Neil Rackers, FA', '', '']
['CAW', 'drafted', 'Martellus Bennett, NYG', '', '']
['USC', 'drafted', 'Cowboys D/ST, Dal', '', '']
['USC', 'drafted', 'Mike Nugent, Cin', '', '']
['CHIN', 'dropped', 'Mike Tolbert, Car', '', '']
['CHIN', 'dropped', 'Pierre Thomas, NO', '', '']
['USC', 'added', 'Pierre Thomas, NO', '$11', '']
['USC', 'added', 'Jermaine Gresham, Cin', '$8', '']
['USC', 'dropped', 'Brandon Jacobs, SF', '', '']
['DB', 'added', 'Kendall Wright, Ten', '$2', '']
['CHIN', 'added', 'Russell Wilson, Sea', '$2', '']
['M0M0', 'added', 'Brandon LaFell, Car', '$1', '']
['M0M0', 'dropped', 'Heath Miller, Pit', '', '']
['CHIN', 'added', 'Ed Dickson, Bal', '$1', '']
['USC', 'added', 'Patriots D/ST, NE', '$1', '']
['USC', 'dropped', 'Cowboys D/ST, Dal', '', '']
['USC', 'added', 'David Nelson, Buf', '$1', '']
['USC', 'dropped', 'Laurent Robinson, Jac', '', '']
['GULL', 'added', 'Rashad Jennings, Jac', '$5', '']
['GULL', 'dropped', 'Reggie Wayne, Ind', '', '']
['M0M0', 'added', 'Ryan Tannehill, Mia', '$1', '']
['M0M0', 'dropped', 'Matt Cassel, KC', '', '']
['HS', 'added', 'Jason Hanson, Det', '$1', '']
['HS', 'dropped', 'Randy Bullock, Hou', '', '']
['USC', 'dropped', 'Matt Flynn, Sea', '', '']
['PLYZ', 'traded', 'Pierre Garcon, Wsh', '', 'USC']
['PLYZ', 'traded', 'Tony Romo, Dal', '', 'USC']
['USC', 'traded', 'Andre Johnson, Hou', '', 'PLYZ']
['USC', 'added', 'Reggie Wayne, Ind', '$11', '']
['USC', 'dropped', 'David Nelson, Buf', '', '']
['HS', 'added', 'Greg Little, Cle', '$2', '']
['HS', 'dropped', 'Terrell Owens, FA', '', '']
['M0M0', 'added', 'Laurent Robinson, Jac', '$1', '']
['M0M0', 'dropped', 'Ryan Tannehill, Mia', '', '']
['HS', 'added', 'Greg Olsen, Car', '$1', '']
['HS', 'dropped', 'Danny Amendola, StL', '', '']
['PLYZ', 'added', 'Matt Cassel, KC', '$1', '']
['JONK', 'added', 'Danny Amendola, StL', '$1', '']
['JONK', 'dropped', 'Davone Bess, Mia', '', '']
['PLYZ', 'added', 'Evan Royster, Wsh', '$1', '']
['PLYZ', 'dropped', 'Matt Cassel, KC', '', '']
['USC', 'added', 'Keiland Williams, Wsh', '$1', '']
['USC', 'dropped', 'Kellen Winslow, FA', '', '']
['TD', 'added', 'Davone Bess, Mia', '$1', '']
['USC', 'dropped', 'Bernard Scott, Cin', '', '']
['CAW', 'dropped', 'James Starks, GB', '', '']
['CAW', 'dropped', 'Daniel Thomas, Mia', '', '']
['DB', 'dropped', 'Tim Tebow, NYJ', '', '']
['PLYZ', 'added', 'Alfred Morris, Wsh', '$20', '']
['PLYZ', 'dropped', 'Evan Royster, Wsh', '', '']
['M0M0', 'added', 'Kevin Ogletree, Dal', '$7', '']
['M0M0', 'dropped', 'Laurent Robinson, Jac', '', '']
['M0M0', 'added', 'Mark Sanchez, NYJ', '$7', '']
['M0M0', 'dropped', 'Sam Bradford, StL', '', '']
['GULL', 'added', 'Randall Cobb, GB', '$5', '']
['GULL', 'dropped', 'Rashad Jennings, Jac', '', '']
['HS', 'added', 'Nate Kaeding, Mia', '$4', '']
['HS', 'dropped', 'Jason Hanson, Det', '', '']
['M0M0', 'added', 'Stephen Hill, NYJ', '$4', '']
['M0M0', 'dropped', 'Brandon Pettigrew, Det', '', '']
['HS', 'added', 'Bengals D/ST, Cin', '$2', '']
['HS', 'dropped', 'Lions D/ST, Det', '', '']
['HS', 'added', 'Andrew Hawkins, Cin', '$2', '']
['HS', 'dropped', 'Greg Little, Cle', '', '']
['USC', 'dropped', 'Keiland Williams, Wsh', '', '']
['USC', 'added', 'Dexter McCluster, KC', '$2', '']
['CAW', 'added', 'Ronnie Brown, SD', '$1', '']
['CAW', 'dropped', 'Mike Goodson, Oak', '', '']
['M0M0', 'traded', 'Steven Jackson, StL', '', 'USC']
['USC', 'traded', 'Carson Palmer, Oak', '', 'M0M0']
['HS', 'added', 'Brandon Pettigrew, Det', '$2', '']
